CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;P21Actualizado;Unnamed: 177;V2_02_M;V2_03_M;V5_03_M;V11_02_M;PP07B1_01;EMPLEO;SECTOR;PP02A;PP02B;PP02D;PP02F;PP02G;PP03K;PP04A1;PP05B3;PP05I;PP05J;PP05K;PP06E1;PP06K;PP06K_SEM;PP06K_MES;PP06L;PP07F1_1;PP07F1_2;PP07F1_3;PP07I2;PP07I3;PP07I4;PP07L;PP07M;PP08G;PP08G_DSEM;PP08G_DMES;PP08H;PP10B1;PP10B2;PP10B3;PP10B4;PP10B5;PP10B6;PP10B7;PP10B8;PP10B9;PP10B10;PP11L2;V2_01_M;V5_01_M;V5_02_M;V11_01_M;V21_01_M;V21_02_M;V21_03_M;V22_01_M;V22_02_M;V22_03_M;P_DECCF;P_RDECCF;P_GDECCF;P_PDECCF;P_IDECCF;P_ADECCF
TQRMNOPPSHLMMOCDEGJBF00648358;2021;1;1;2;1;43;S;13;992;2;1;12/02/1975;45;1;4;1;2;0;4;2;3.00;1;;1;;3;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;46.00;0.00;2.00;0.00;2.00;2.00;3.00;2.00;4000.00;2.00;0.00;0.00;0.00;0.00;6.00;0.00;72313.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;1.00;0.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;1.00;4.00;0.00;0.00;24000.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;24000,0;4;5.00;4;4.00;;5;1003;0.00;24000.00;4;5.00;4;4.00;;5;1023;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;0.00;26000.00;2.00;2.00;2.00;2.00;0.00;2.00;13000.00;3.00;3.00;3.00;3.00;0.00;3.00;1030;453786,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPSHLMMOCDEGJBF00648358;2021;1;1;1;1;43;S;13;992;1;2;07/04/1977;43;1;4;1;2;0;2;1;;1;;1;;2;3;0;4;;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;992;0.00;2000.00;1;1.00;1;1.00;;1;992;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;2000;0;0;0,0;2000.00;26000.00;2.00;2.00;2.00;2.00;0.00;2.00;13000.00;3.00;3.00;3.00;3.00;0.00;3.00;1030;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPVHMMMPCDEGJBF00700594;2021;1;1;1;1;43;S;13;976;1;1;09/12/1985;35;1;1;1;2;0;7;2;2.00;1;;1;;5;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;70.00;0.00;2.00;0.00;2.00;2.00;3.00;2.00;2500.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;80113.00;6.00;0.00;0.00;0.00;1.00;3.00;1.00;1.00;7.00;6.00;2.00;60000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;60000,0;9;9.00;9;9.00;;9;997;0.00;60000.00;9;9.00;9;8.00;;9;1012;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;0.00;120000.00;9.00;9.00;9.00;9.00;0.00;9.00;40000.00;8.00;8.00;8.00;8.00;0.00;8.00;1020;1134465,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPVHMMMPCDEGJBF00700594;2021;1;1;2;1;43;S;13;976;2;2;13/10/1990;30;1;1;1;2;0;5;1;;2;;1;;4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;40.00;0.00;2.00;0.00;2.00;2.00;2.00;2.00;6200.00;2.00;0.00;0.00;0.00;0.00;9.00;0.00;10333.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;0.00;0.00;2.00;2.00;2.00;1.00;0.00;2.00;2.00;2.00;2.00;5.00;2.00;1.00;1.00;3.00;60000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;60000,0;9;9.00;9;9.00;;9;988;0.00;60000.00;9;9.00;9;8.00;;9;993;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;0.00;120000.00;9.00;9.00;9.00;9.00;0.00;9.00;40000.00;8.00;8.00;8.00;8.00;0.00;8.00;1020;1134465,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPVHMMMPCDEGJBF00700594;2021;1;1;3;0;43;S;13;976;3;1;03/05/2013;7;5;1;1;1;2;3;2;2.00;1;;1;;1;4;0;3;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;976;0.00;0.00;0;0.00;0;0.00;;0;976;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;0.00;120000.00;9.00;9.00;9.00;9.00;0.00;9.00;40000.00;8.00;8.00;8.00;8.00;0.00;8.00;1020;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPWHMMMPCDEGJBF00701097;2021;1;1;1;1;43;S;13;793;1;2;07/06/1938;82;5;12;1;2;0;6;1;;1;;1;;6;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;793;0.00;35000.00;6;7.00;6;6.00;;7;796;35000.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;35000.00;35000.00;3.00;3.00;3.00;3.00;0.00;3.00;35000.00;8.00;8.00;7.00;7.00;0.00;8.00;794;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPXHMMMPCDEGJBF00700022;2021;1;1;1;1;43;S;13;796;1;1;13/10/1940;80;2;12;1;2;0;7;1;;1;;1;;6;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;796;0.00;30000.00;5;6.00;5;5.00;;6;814;30000.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;30000.00;60000.00;6.00;6.00;6.00;5.00;0.00;6.00;30000.00;7.00;7.00;7.00;7.00;0.00;7.00;804;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPXHMMMPCDEGJBF00700022;2021;1;1;2;1;43;S;13;796;2;2;06/10/1939;81;2;12;1;2;0;7;1;;1;;1;;6;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;796;0.00;30000.00;6;6.00;6;5.00;;6;798;30000.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;30000.00;60000.00;6.00;6.00;6.00;5.00;0.00;6.00;30000.00;7.00;7.00;7.00;7.00;0.00;7.00;804;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPYHMMMPCDEGJBF00701872;2021;1;1;2;1;43;S;13;767;3;1;06/09/1971;49;5;1;1;2;0;2;1;;1;;1;;2;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;42.00;0.00;2.00;0.00;2.00;2.00;2.00;2.00;4803.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;30314.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;1.00;4.00;16800.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;16800,0;3;3.00;3;3.00;;3;791;0.00;16800.00;3;3.00;3;3.00;;3;791;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;0.00;35800.00;3.00;3.00;3.00;3.00;0.00;3.00;17900.00;4.00;5.00;4.00;4.00;0.00;4.00;796;317650,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPPYHMMMPCDEGJBF00701872;2021;1;1;1;1;43;S;13;767;1;2;27/06/1934;86;4;1;1;2;0;2;1;;2;;1;;2;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;767;0.00;19000.00;3;3.00;3;3.00;;3;766;19000.00;0.00;0;0,0;0.00;0.00;0.00;0,0;0;0;0;0,0;19000.00;35800.00;3.00;3.00;3.00;3.00;0.00;3.00;17900.00;4.00;5.00;4.00;4.00;0.00;4.00;796;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPQPHLLLOCDEGJBF00648305;2021;1;1;1;1;43;S;13;1027;1;1;06/07/1996;24;5;4;1;1;1;7;2;4.00;3;10.00;1;;5;1;4;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;6.00;0.00;2.00;0.00;2.00;2.00;2.00;2.00;101.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;30333.00;6.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;0.00;0;0.00;;0;1027;0.00;15000.00;2;3.00;2;2.00;;3;1079;0.00;0.00;0;0,0;0.00;0.00;0.00;0,0;15000;0;0;0,0;15000.00;15000.00;1.00;1.00;1.00;1.00;0.00;1.00;15000.00;4.00;4.00;3.00;3.00;0.00;4.00;1104;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
